STATION CODE,LOCATIONS,STATE,LATITUDE,LONGITUDE,YEAR,mean_temp,Qi_temp,WiQi_temp,mean_ph,Qi_ph,WiQi_ph,mean_conductivity,Qi_conductivity,WiQi_conductivity,mean_bod,Qi_bod,WiQi_bod,mean_nitratenitrite,Qi_nitratenitrite,WiQi_nitratenitrite,mean_fecalcoliform,Qi_fecalcoliform,WiQi_fecalcoliform,WQI
1555,"AT KALA AMB, H.P",HIMACHAL PRADESH,30.499231,77.207026,2014,24.3,97.2,9.72,7.7,46.66666667,5.133333333,475,190,0.76,0.8,13.33333333,1.466666667,0.5,0.25,0.025,2,10,1.6,18.705
1556,"AT PAONTA SAHIB, H.P",HIMACHAL PRADESH,30.445283,77.602057,2014,22.3,89.2,8.92,7.6,40,4.4,521,208.4,0.8336,0.5,8.333333333,0.916666667,0.7,0.35,0.035,2,10,1.6,16.70526667
1872,SHIMLA D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,31.104814,77.173403,2014,13,52,5.2,7,0,0,489,195.6,0.7824,6.9,115,12.65,2.5,1.25,0.125,17,85,13.6,32.3574
1874,SOLAN-D/S OF MSW DUMPING SIOT-,HIMACHAL PRADESH,30.904486,77.096736,2014,17.7,70.8,7.08,7.5,33.33333333,3.666666667,389,155.6,0.6224,1.2,20,2.2,1.9,0.95,0.095,15,75,12,25.66406667
1875,MANDI-D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,31.589201,76.91821,2014,16,64,6.4,8.3,86.66666667,9.533333333,357,142.8,0.5712,4.7,78.33333333,8.616666667,0.3,0.15,0.015,70,350,56,81.1362
1880,KALA AMB INDUSTRIAL AREA,HIMACHAL PRADESH,30.517055,77.228802,2014,24.3,97.2,9.72,7.9,60,6.6,585,234,0.936,3.1,51.66666667,5.683333333,0.6,0.3,0.03,2,10,1.6,24.56933333
1881,PAONTA SAHIB INDUSTRIAL AREA,HIMACHAL PRADESH,30.434722,77.602773,2014,23.3,93.2,9.32,7.5,33.33333333,3.666666667,480,192,0.768,0.8,13.33333333,1.466666667,0.8,0.4,0.04,1,5,0.8,16.06133333
2645,HAND PUMP AT NAHAN,HIMACHAL PRADESH,30.559933,77.295483,2014,22.2,88.8,8.88,7.5,33.33333333,3.666666667,632,252.8,1.0112,0.9,15,1.65,0.8,0.4,0.04,2,10,1.6,16.84786667
2646,HAND PUMP AT KALA AMB,HIMACHAL PRADESH,30.489231,77.217026,2014,22,88,8.8,7.8,53.33333333,5.866666667,979,391.6,1.5664,0.7,11.66666667,1.283333333,0.8,0.4,0.04,1,5,0.8,18.3564
19,"WELL AT ELOOR, KERALA",KERALA,10.06975,76.302937,2014,27.5,110,11,6.2,-53.33333333,-5.866666667,159,63.6,0.2544,1,16.66666667,1.833333333,2.6,1.3,0.13,150,750,120,127.3510667
22,"WELL AT CHUNGAPALLY, KERALA",KERALA,10.890341,76.073885,2014,25,100,10,6.7,-20,-2.2,114,45.6,0.1824,0.4,6.666666667,0.733333333,0.9,0.45,0.045,184,920,147.2,155.9607333
35,"WELL AT PUNALUR, KERALA",KERALA,9.009768,76.929735,2014,24,96,9.6,6,-66.66666667,-7.333333333,195,78,0.312,0.6,10,1.1,0.8,0.4,0.04,162,810,129.6,133.3186667
1581,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",KERALA,8.470141,76.978708,2014,25.8,103.2,10.32,6.4,-40,-4.4,354,141.6,0.5664,1.3,21.66666667,2.383333333,1.2,0.6,0.06,95,475,76,84.92973333
